# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

736	aSegmentMap
737	aSegmentNames
738	SegmentationDataLOD
739	aSegments
740	aSegments
741	fPriority
742	nY
743	nX
744	GolemBaseTextureBlock
745	Threshold
746	ColourMap
747	GolemBaseSkinTone
748	NormalMap
749	ColourMap
750	GolemBaseColourNormalMap
751	LocalisedNameTag
752	NormalMap
753	NewColourMap
754	OldColourMap
755	GolemScar
756	SpecularExponent2
757	SpecularExponent1
758	MeshNormalMapTexture
759	MeshColourTexture
760	BaseNormalMapTexture
761	BaseColourTexture
762	Name
763	GolemBaseHairType
764	BodyMorphGroupsToDisable
765	AnimSets
766	MorphSets
767	Types
768	Guid
769	bDisabled
770	Types
771	MorphSets
772	AnimSets
773	AnimTree
774	BodyMorphGroupsToDisable
775	BaseBodyMorph
776	SkeletalMesh
777	Name
778	GolemBaseHairShape
779	vBoneDirectionOffset
780	vBonePositionOffset
781	fDefaultHeight
782	fDefaultRadius
783	Bone
784	Mask
785	Name
786	nID
787	GolemProjectionArea
788	ProjectionAreas
789	LicensePlates
790	etGolemobilePartCategory
791	DigitColour
792	BackSrcBR
793	BackSrcTL
794	BackDestBR
795	BackDestTL
796	GolemobileLicensePlateData
797	m_bDoubleSizeDiffuse
798	LOD2Distance
799	LOD1Distance
800	GlassPresetDecals
801	LicensePlates
802	ProjectionAreas
803	SharedData
804	MaterialMapLOD2
805	MaterialMapLOD1
806	MaterialMapLODBase
807	InteriorEmissiveMap
808	InteriorNormalMap
809	InteriorDiffuseMap
810	ScratchDiffuse_DirtDamageDustMask
811	ScratchMask
812	DamagedNormal_ScratchMask
813	EmissiveMap
814	NormalMap
815	DiffuseMap
816	MorphSets
817	LobbyAnimTree
818	SkeletalMesh
819	aCommonPartTypes
820	aPartTypes
821	LastPartID
822	NumTextureSets
823	bExportToUI
824	bExportToUI
825	ComponentMask
826	sAttachToSocket
827	ColourCustomisable
828	Optional
829	DefaultPart
830	eCategory
831	NumParts
832	bCommon
833	sDisplayName
834	sName
835	GolemobilePartType
836	aPartTypes
837	aPartTypes
838	GolemobileCommonParts
839	Default__GolemobileCommonParts
840	etVehicleStudioRenderTargetType
841	m_pBakingMeshProxy
842	m_pBakingSkeletalMeshComponent
843	m_pVehicleTextureBaker
844	m_pLicensePlateStack
845	m_pPartNormalStack
846	m_pBodyNormalStack
847	m_pPartColourStack
848	m_pBodyColourStack
849	m_fGlassTotalTime
850	m_fGlassDecalsTime
851	m_fWheelTotalTime
852	m_fWheelEmissiveTime
853	m_fWheelNormalTime
854	m_fWheelDiffuseTime
855	m_fInteriorTotalTime
856	m_fInteriorEmissiveTime
857	m_fInteriorNormalTime
858	m_fInteriorDiffuseTime
859	m_fExteriorTotalTime
860	m_fExteriorEmissiveTime
861	m_fExteriorNormalTime
862	m_fExteriorDiffuseTime
863	m_fExteriorDecalsTime
864	m_pCommonParts
865	m_pIntermediateRenderTarget
866	m_pTempRenderTarget
867	m_pMaskRenderTarget
868	m_pDilationRenderTarget
869	m_apRenderTargets
870	m_pGolemobile
871	m_pUVBleedSkeletalMesh
872	m_pUVBleedMeshBaker
873	m_pTextureBaker
874	m_pMeshBaker
875	m_pDescriptor
876	bIsInGame
877	Init
878	pDesc
879	SetGolemobileDescriptor
880	pGolemobile
881	SetGolemobile
882	Done
